p (GeV)        dN/dp          error          
0.00480892     0              0              
0.0144268      0              0              
0.0240446      0              0              
0.0336624      0              0              
0.0432803      0              0              
0.0528981      0              0              
0.062516       0              0              
0.0721338      0              0              
0.0817516      0              0              
0.0913695      0              0              
0.100987       0              0              
0.110605       0              0              
0.120223       0              0              
0.129841       0              0              
0.139459       0              0              
0.149077       0              0              
0.158694       0              0              
0.168312       0              0              
0.17793        0              0              
0.187548       0              0              
0.197166       0              0              
0.206784       0              0              
0.216401       0              0              
0.226019       0              0              
0.235637       0              0              
0.245255       0              0              
0.254873       0              0              
0.264491       0              0              
0.274108       0              0              
0.283726       0              0              
0.293344       5.19867e-06    5.19867e-06    
0.302962       0              0              
0.31258        0              0              
0.322198       0              0              
0.331815       0              0              
0.341433       0              0              
0.351051       0              0              
0.360669       0              0              
0.370287       5.19867e-06    5.19867e-06    
0.379905       0              0              
0.389523       0              0              
0.39914        0              0              
0.408758       0              0              
0.418376       0              0              
0.427994       0              0              
0.437612       0              0              
0.44723        0              0              
0.456847       5.19867e-06    5.19867e-06    
0.466465       5.19867e-06    5.19867e-06    
0.476083       0              0              
0.485701       0              0              
0.495319       0              0              
0.504937       1.03973e-05    7.35203e-06    
0.514554       1.03973e-05    7.35203e-06    
0.524172       0              0              
0.53379        0              0              
0.543408       0              0              
0.553026       0              0              
0.562644       0              0              
0.572261       0              0              
0.581879       0              0              
0.591497       0              0              
0.601115       0              0              
0.610733       0              0              
0.620351       0              0              
0.629969       0              0              
0.639586       5.19867e-06    5.19867e-06    
0.649204       5.19867e-06    5.19867e-06    
0.658822       0              0              
0.66844        0              0              
0.678058       0              0              
0.687676       1.03973e-05    7.35203e-06    
0.697293       5.19867e-06    5.19867e-06    
0.706911       0              0              
0.716529       5.19867e-06    5.19867e-06    
0.726147       5.19867e-06    5.19867e-06    
0.735765       0              0              
0.745383       5.19867e-06    5.19867e-06    
0.755          5.19867e-06    5.19867e-06    
0.764618       1.03973e-05    7.35203e-06    
0.774236       0              0              
0.783854       5.19867e-06    5.19867e-06    
0.793472       5.19867e-06    5.19867e-06    
0.80309        0              0              
0.812707       5.19867e-06    5.19867e-06    
0.822325       0              0              
0.831943       5.19867e-06    5.19867e-06    
0.841561       1.5596e-05     9.00436e-06    
0.851179       5.19867e-06    5.19867e-06    
0.860797       5.19867e-06    5.19867e-06    
0.870415       1.5596e-05     9.00436e-06    
0.880032       5.19867e-06    5.19867e-06    
0.88965        0              0              
0.899268       1.03973e-05    7.35203e-06    
0.908886       5.19867e-06    5.19867e-06    
0.918504       1.03973e-05    7.35203e-06    
0.928122       5.19867e-06    5.19867e-06    
