p (GeV)        dN/dp          error          
0.00480839     0              0              
0.0144252      0              0              
0.0240419      0              0              
0.0336587      0              0              
0.0432755      0              0              
0.0528923      0              0              
0.0625091      0              0              
0.0721258      0              0              
0.0817426      0              0              
0.0913594      0              0              
0.100976       0              0              
0.110593       0              0              
0.12021        0              0              
0.129827       0              0              
0.139443       0              0              
0.14906        0              0              
0.158677       0              0              
0.168294       0              0              
0.17791        5.19925e-06    5.19925e-06    
0.187527       0              0              
0.197144       0              0              
0.206761       0              0              
0.216378       0              0              
0.225994       0              0              
0.235611       0              0              
0.245228       0              0              
0.254845       0              0              
0.264461       0              0              
0.274078       0              0              
0.283695       0              0              
0.293312       0              0              
0.302929       0              0              
0.312545       0              0              
0.322162       1.55977e-05    9.00536e-06    
0.331779       5.19925e-06    5.19925e-06    
0.341396       5.19925e-06    5.19925e-06    
0.351012       1.03985e-05    7.35284e-06    
0.360629       5.19925e-06    5.19925e-06    
0.370246       5.19925e-06    5.19925e-06    
0.379863       5.19925e-06    5.19925e-06    
0.38948        5.19925e-06    5.19925e-06    
0.399096       5.19925e-06    5.19925e-06    
0.408713       5.19925e-06    5.19925e-06    
0.41833        2.59962e-05    1.16259e-05    
0.427947       5.19925e-06    5.19925e-06    
0.437563       5.19925e-06    5.19925e-06    
0.44718        0              0              
0.456797       1.03985e-05    7.35284e-06    
0.466414       5.19925e-06    5.19925e-06    
0.476031       0              0              
0.485647       1.55977e-05    9.00536e-06    
0.495264       5.19925e-06    5.19925e-06    
0.504881       5.19925e-06    5.19925e-06    
0.514498       5.19925e-06    5.19925e-06    
0.524115       1.03985e-05    7.35284e-06    
0.533731       3.11955e-05    1.27355e-05    
0.543348       1.03985e-05    7.35284e-06    
0.552965       1.03985e-05    7.35284e-06    
0.562582       2.59962e-05    1.16259e-05    
0.572198       1.55977e-05    9.00536e-06    
0.581815       1.03985e-05    7.35284e-06    
0.591432       2.59962e-05    1.16259e-05    
0.601049       1.55977e-05    9.00536e-06    
0.610666       2.59962e-05    1.16259e-05    
0.620282       0              0              
0.629899       5.19925e-06    5.19925e-06    
0.639516       4.1594e-05     1.47057e-05    
0.649133       1.55977e-05    9.00536e-06    
0.658749       1.55977e-05    9.00536e-06    
0.668366       1.03985e-05    7.35284e-06    
0.677983       5.19925e-05    1.64415e-05    
0.6876         1.55977e-05    9.00536e-06    
0.697217       3.11955e-05    1.27355e-05    
0.706833       2.0797e-05     1.03985e-05    
0.71645        1.55977e-05    9.00536e-06    
0.726067       2.0797e-05     1.03985e-05    
0.735684       2.59962e-05    1.16259e-05    
0.7453         1.55977e-05    9.00536e-06    
0.754917       3.11955e-05    1.27355e-05    
