p (GeV)        dN/dp          error          
0.00480839     0              0              
0.0144252      0              0              
0.0240419      0              0              
0.0336587      0              0              
0.0432755      0              0              
0.0528923      0              0              
0.0625091      0              0              
0.0721258      0              0              
0.0817426      0              0              
0.0913594      0              0              
0.100976       0              0              
0.110593       0              0              
0.12021        0              0              
0.129827       0              0              
0.139443       0              0              
0.14906        0              0              
0.158677       0              0              
0.168294       0              0              
0.17791        0              0              
0.187527       0              0              
0.197144       5.19925e-06    5.19925e-06    
0.206761       0              0              
0.216378       0              0              
0.225994       0              0              
0.235611       0              0              
0.245228       0              0              
0.254845       0              0              
0.264461       0              0              
0.274078       0              0              
0.283695       0              0              
0.293312       0              0              
0.302929       0              0              
0.312545       0              0              
0.322162       0              0              
0.331779       5.19925e-06    5.19925e-06    
0.341396       0              0              
0.351012       0              0              
0.360629       0              0              
0.370246       0              0              
0.379863       0              0              
0.38948        0              0              
0.399096       0              0              
0.408713       0              0              
0.41833        0              0              
0.427947       0              0              
0.437563       0              0              
0.44718        0              0              
0.456797       0              0              
0.466414       1.03985e-05    7.35284e-06    
0.476031       5.19925e-06    5.19925e-06    
0.485647       0              0              
0.495264       0              0              
0.504881       0              0              
0.514498       5.19925e-06    5.19925e-06    
0.524115       0              0              
0.533731       0              0              
0.543348       1.55977e-05    9.00536e-06    
0.552965       5.19925e-06    5.19925e-06    
0.562582       0              0              
0.572198       0              0              
0.581815       0              0              
0.591432       0              0              
0.601049       0              0              
0.610666       0              0              
0.620282       0              0              
0.629899       0              0              
0.639516       0              0              
0.649133       5.19925e-06    5.19925e-06    
0.658749       1.03985e-05    7.35284e-06    
0.668366       0              0              
0.677983       5.19925e-06    5.19925e-06    
0.6876         5.19925e-06    5.19925e-06    
0.697217       5.19925e-06    5.19925e-06    
0.706833       1.03985e-05    7.35284e-06    
0.71645        5.19925e-06    5.19925e-06    
0.726067       1.03985e-05    7.35284e-06    
0.735684       0              0              
0.7453         5.19925e-06    5.19925e-06    
0.754917       0              0              
0.764534       5.19925e-06    5.19925e-06    
0.774151       0              0              
0.783768       5.19925e-06    5.19925e-06    
0.793384       5.19925e-06    5.19925e-06    
0.803001       1.03985e-05    7.35284e-06    
0.812618       0              0              
0.822235       0              0              
0.831851       5.19925e-06    5.19925e-06    
0.841468       1.03985e-05    7.35284e-06    
0.851085       0              0              
0.860702       1.55977e-05    9.00536e-06    
0.870319       5.19925e-06    5.19925e-06    
0.879935       5.19925e-06    5.19925e-06    
0.889552       5.19925e-06    5.19925e-06    
0.899169       1.03985e-05    7.35284e-06    
0.908786       1.03985e-05    7.35284e-06    
0.918402       5.19925e-06    5.19925e-06    
