p (GeV)        dN/dp          error          
0.00480892     0              0              
0.0144268      0              0              
0.0240446      0              0              
0.0336624      0              0              
0.0432803      0              0              
0.0528981      0              0              
0.062516       0              0              
0.0721338      0              0              
0.0817516      0              0              
0.0913695      0              0              
0.100987       0              0              
0.110605       0              0              
0.120223       0              0              
0.129841       0              0              
0.139459       0              0              
0.149077       0              0              
0.158694       0              0              
0.168312       0              0              
0.17793        0              0              
0.187548       0              0              
0.197166       0              0              
0.206784       0              0              
0.216401       1.03973e-05    7.35203e-06    
0.226019       0              0              
0.235637       0              0              
0.245255       0              0              
0.254873       0              0              
0.264491       0              0              
0.274108       0              0              
0.283726       0              0              
0.293344       0              0              
0.302962       0              0              
0.31258        0              0              
0.322198       5.19867e-06    5.19867e-06    
0.331815       0              0              
0.341433       5.19867e-06    5.19867e-06    
0.351051       5.19867e-06    5.19867e-06    
0.360669       0              0              
0.370287       0              0              
0.379905       0              0              
0.389523       0              0              
0.39914        5.19867e-06    5.19867e-06    
0.408758       5.19867e-06    5.19867e-06    
0.418376       0              0              
0.427994       5.19867e-06    5.19867e-06    
0.437612       5.19867e-06    5.19867e-06    
0.44723        0              0              
0.456847       0              0              
0.466465       5.19867e-06    5.19867e-06    
0.476083       0              0              
0.485701       0              0              
0.495319       5.19867e-06    5.19867e-06    
0.504937       0              0              
0.514554       5.19867e-06    5.19867e-06    
0.524172       5.19867e-06    5.19867e-06    
0.53379        0              0              
0.543408       5.19867e-06    5.19867e-06    
0.553026       5.19867e-06    5.19867e-06    
0.562644       1.03973e-05    7.35203e-06    
0.572261       1.03973e-05    7.35203e-06    
0.581879       0              0              
0.591497       5.19867e-06    5.19867e-06    
0.601115       5.19867e-06    5.19867e-06    
0.610733       5.19867e-06    5.19867e-06    
0.620351       0              0              
0.629969       1.5596e-05     9.00436e-06    
0.639586       5.19867e-06    5.19867e-06    
0.649204       0              0              
0.658822       5.19867e-06    5.19867e-06    
0.66844        5.19867e-06    5.19867e-06    
0.678058       1.03973e-05    7.35203e-06    
0.687676       5.19867e-06    5.19867e-06    
0.697293       5.19867e-06    5.19867e-06    
0.706911       1.5596e-05     9.00436e-06    
0.716529       2.07947e-05    1.03973e-05    
0.726147       1.03973e-05    7.35203e-06    
0.735765       5.19867e-06    5.19867e-06    
0.745383       1.03973e-05    7.35203e-06    
0.755          1.5596e-05     9.00436e-06    
0.764618       3.1192e-05     1.27341e-05    
0.774236       2.07947e-05    1.03973e-05    
0.783854       1.5596e-05     9.00436e-06    
0.793472       1.03973e-05    7.35203e-06    
0.80309        3.1192e-05     1.27341e-05    
0.812707       1.5596e-05     9.00436e-06    
0.822325       0              0              
